Company Name	Sector	Price EOD(LC)	Target Price(LC)	Latest Rating	Mkt cap	P/E (x) FY-2	P/E (x) FY-1	P/E (x) FY0	P/E (x) FY1	P/E (x) FY2	P/B FY-2	P/B FY-1	P/B FY0	P/B FY1	P/B FY2	ROAE (%) FY-2	ROAE (%) FY-1	ROAE (%) FY0	ROAE (%) FY1	ROAE (%) FY2	Dividend yld (%) FY-2	Dividend yld (%) FY-1	Dividend yld (%) FY0	Dividend yld (%) FY1	Dividend yld (%) FY2	Revenue growth FY-2	Revenue growth FY-1	Revenue growth FY0	Revenue growth FY1	Revenue growth FY2	EBIT growth FY-2	EBIT growth FY-1	EBIT growth FY0	EBIT growth FY1	EBIT growth FY2	Core net profit growth FY-2	Core net profit growth FY-1	Core net profit growth FY0	Core net profit growth FY1	Core net profit growth FY2
Tenaga Nasional	Utilities	15.82	15.997288	Hold	21682.06797	12.19119613	10.73298928	8.318492526	13.62913085	13.38320028	1.592373249	1.497387544	1.510192812	1.480574017	1.402969329	13.53179255	14.79488256	17.62828351	11.16657052	10.76518948	2.177177177	2.302158273	5.400393185	3.668615676	3.73602402	1.155345342	2.87547243	42.02081673	-22.88913731	2.494682927	26.30068804	5.15091103	37.92548501	-28.76191819	5.618444347	29.89259594	9.574935822	20.91433897	-29.65618879	1.837560895
CK Infrastructure	Utilities	61.9	80.6	Buy	19832.58798	14.78517965	18.19648844	16.33148734	12.74255631	11.65867981	1.759132261	1.609233421	1.635130642	1.420187211	1.335816124	11.37198368	9.675864562	10.25200172	11.47684313	11.80845696	2.994428969	3.662884927	3.544303798	4.237767367	4.631741519	-6.933511975	-4.246895807	13.06145461	3.329953457	3.332093052	59.61443401	-40.26014246	41.2649041	12.93060712	18.14914714	5.670040376	-13.67138506	6.434205064	19.34096525	9.296735567
Henderson Land Development	Real Estate	40.05	59.359977	Buy	18571.02697	5.860720458	5.883386814	5.531483236	9.310549725	11.80046866	0.469162047	0.470483976	0.639066652	0.578573921	0.56477052	8.715214846	8.514688771	10.93416257	6.334124621	4.843781844	4.063056117	4.546670759	3.652426819	4.261433209	4.406604245	1.155277909	8.151093439	-4.3609199	3.855080865	25.62937059	29.21024708	0.985452839	2.369888476	16.49963895	42.17552402	18.47826087	28.70378781	38.02667796	-3.194037107	-21.10016747
Geely Automobile	Automotive	14.14	33	Buy	16016.16086	11.66792835	7.839849317	12.56036843	8.148820705	5.603440756	1.56000345	2.397399678	5.850310423	2.507593892	1.903767585	12.28154159	23.25876572	36.10507109	34.97093498	39.10852526	0.921658211	1.620992345	1.044950009	3.636598929	5.288530329	38.64090379	78.25044687	72.66939079	29.05818112	26.694245	89.25474062	184.456803	131.6945249	37.42905916	36.42051426	58.01397747	126.1593636	107.9985752	29.16023731	45.4252851
Power Assets Holdings	Utilities	56.2	63	Hold	15292.33276	20.44519332	24.6275085	17.83718981	14.43306435	14.48907325	1.231201853	1.23195297	1.472636088	1.327900754	1.259947335	6.268723271	5.303130475	7.775093345	8.940448732	8.924186135	3.786816269	11.29480614	24.71569371	4.982206406	4.982206406	-38.62036603	-1.529051988	10.24844721	0.322061197	0.322061217	-24.65003043	-79.64458805	914.6825397	-40.63827818	0.190298408	-4.271387892	-17.00724263	29.6400187	-0.102570381	-0.386562035
Shanghai RAAS Blood Prod.	Health Care	19.523	9	Sell	14135.4159	24.85453269	37.10148689	65.73155932	107.945969	91.95515991	1.986970307	5.718751674	9.792603764	7.760630868	7.228537375	10.52237397	14.9719783	14.4242556	7.422048969	8.13997893	0.399024465	0.226301073	0.216543958	0.25610818	0.25610818	165.8829086	52.55496582	15.54290758	7.097556678	18.55331961	219.5876213	44.67207014	30.9805217	-4.313600916	17.52793705	261.1989886	182.7295535	11.8370518	-44.32647964	17.38993496
CIMB Group Holdings	Banks	6.04	6.3	Hold	13654.21965	15.85692914	11.12943551	12.07726855	11.86857324	10.76071484	0.943071313	0.882763696	1.250585136	1.101955113	1.050326827	na	na	na	na	na	3.083700441	4.4345898	3.822629969	4.304635762	4.801324503	na	na	na	na	na	na	na	na	na	na	7.984773663	0.09333852	27.552298	7.831108784	10.26524439
Wynn Macau	Macau Gaming	18.74	17.8	Hold	12416.7821	24.29313379	31.90341248	40.79548227	29.01121901	21.80575886	16.09270577	11.45514476	26.05865944	39.56115407	39.54437453	79.29643893	43.25139028	43.7973116	136.3864841	181.3867701	4.805491991	6.622516556	3.40356564	3.446136606	4.584877268	-6.049608604	-35.14532505	15.72609761	52.17993333	8.663050246	-6.431197519	-50.50483808	-4.532861199	43.53806072	27.08425748	-11.11040895	-57.07739603	-14.88724944	37.22270446	32.70359369
China Resources Beer	Consumer Staples	29.95	29.3	Hold	12387.72246	nm	59.18884289	47.62602776	55.12167607	41.82008903	3.076933618	2.253636682	4.115113156	4.395430809	4.134689568	-12.58014116	3.401195015	6.500331932	8.138780639	10.14434762	0	0.655468308	0.59890881	0.725668102	0.956477354	-2.701371819	2.628849387	3.617481007	9.576654238	6.700000003	-1.345476842	-1.843575419	5.350028458	24.60040065	33.99124989	9.643835677	63.86806597	75.11436414	36.29616609	16.27953658
New World Development	Real Estate	10.3	14.60397	Buy	12336.06844	4.381943575	8.14771346	11.73255965	12.33202111	11.23716863	0.509888672	0.410411228	0.49996476	0.510123955	0.499028759	11.28460716	4.834863818	4.198218805	4.248089617	4.568513926	4.142011834	5.605095541	4.641775984	4.541019418	4.805485437	-2.223142558	7.828762784	-4.93738459	16.58813631	12.08640126	-27.17392966	3.073774793	1.394842139	32.58162926	20.52664171	4.046598122	-16.70646381	26.49999847	11.85648986	9.743216473
AAC Technologies	Technology	77.55	90	Hold	12082.11895	15.20275151	17.09682053	22.21553277	16.3702979	13.06768994	4.598611012	5.463659177	8.085208463	3.962159271	3.283990414	30.39274519	31.57566221	33.54863598	26.33024722	27.48259067	1.806958509	1.695344211	1.225055322	1.994533739	2.498614605	32.20485849	32.09817712	36.18881953	0.877561294	15.58805365	29.15882721	40.61141928	34.72809892	-9.219530169	24.85179623	33.705212	29.55781704	32.26893224	-4.840442641	25.27309068
ANTA Sports Products	Consumer Discretionary	34.4	49.2	Buy	11590.87244	18.16445061	17.37771825	20.27318279	21.82625492	17.20475771	5.197576631	5.43609203	5.685689144	5.368551075	4.908702789	24.92329841	26.31848314	26.55634159	25.55841431	29.82947352	3.195256273	3.356948145	2.790088924	3.204803637	4.065670582	24.69264881	19.9517506	25.07710875	29.11215911	22.55416535	27.76865208	19.19213351	19.95007453	25.19873529	28.98889483	20.01182137	16.90569267	29.43967545	17.97218667	26.86171948
China Mengniu Dairy	Consumer Staples	22.45	26.8	Buy	11241.25754	22.60910316	nm	28.34398211	22.78033252	20.31102119	1.860711526	2.496595668	3.337373973	3.066924036	2.754563606	9.263871603	-2.882467817	7.784854117	11.93359071	12.23533216	1.333742858	0.671251718	0.624722077	1.009642093	1.132391559	-2.043441496	9.694392724	11.85638038	14.8312907	12.76494767	-0.626222534	nm	nm	14.19184712	16.65999139	0.701377359	-13.84244692	0.403951755	65.26926648	12.15756622
Maxis Bhd	Telecommunications	5.84	5.89845	Hold	11018.37297	29.26664294	22.56443401	21.08966303	22.74462152	22.4891309	12.18482953	9.511509244	6.538287056	5.983821141	5.638992474	39.05232428	45.18011447	37.26940406	27.09672913	25.81819921	2.941176471	3.344481605	3.327787022	3.424657534	3.424657534	2.527118846	0.127892106	0.975383186	3.243146274	1.718548981	4.510218464	2.4275118	4.048716261	-5.482786049	0.837580715	4.324012684	6.521138436	9.10920882	-6.467212374	1.136008092
CGN Power	Utilities	1.85	2.700063	Buy	10719.72812	18.49397841	12.42456339	9.286662718	7.311083902	6.469541094	1.294334274	1.05949753	0.782800521	0.635953184	0.563439869	11.68588772	12.41490201	15.52690127	14.21025152	13.96249085	1.728525806	2.671254088	3.850485026	4.449474247	5.028248062	29.33212528	22.74378577	38.69269752	15.02385947	11.63323515	2.891014924	8.309417126	47.34517326	11.98226621	9.532664591	13.50967686	3.663920432	30.37470903	5.944781454	13.00759787
Hengan International	Consumer Staples	69.7	99.7	Buy	10719.59074	26.0799105	18.86809828	17.99430875	17.59828969	15.64078638	5.096644362	4.202367486	5.406164011	4.203786502	3.861310128	21.92717463	24.0971631	24.39493233	24.51482329	25.38893223	2.867003383	3.80765182	2.907232277	3.807188085	4.283672446	-6.807635741	3.294405874	2.84080885	9.050737878	7.662020906	1.159389514	-2.96918803	11.14736671	8.48302636	11.8113333	-1.74434153	11.24633645	5.483175282	10.0846338	12.51539632
Hong Leong Bank	Banks	20.2	19.45	Hold	10569.13927	12.09780448	12.88854601	13.33881606	15.51831161	14.5482411	1.352953833	1.496400612	1.651267838	1.713780501	1.602723424	na	na	na	na	na	3.1107739	2.873563218	2.637362637	2.524752475	2.673267327	na	na	na	na	na	na	na	na	na	na	-5.65783859	10.47183971	14.37737871	5.682502282	6.667991739
Sino Land Company	Real Estate	13.4	13.4	Hold	10530.70695	10.02195116	10.97765734	6.232694392	17.13925388	15.21009224	0.639046079	0.629816776	0.577343564	0.599880024	0.590108071	5.891778721	5.920254011	10.44724442	3.518666647	3.911572034	4.028436019	3.984375	7.680250784	3.792462687	3.879	-50.52919057	87.7194344	-36.70093296	-14.00844763	27.52121244	-26.11045936	93.6248288	-36.49519711	7.968320474	21.22936258	0.941829046	3.278456559	99.93203732	-55.31477149	12.68345216
Want Want China	Consumer Staples	6.52	8.74	Buy	10397.2275	16.22150598	17.40147151	19.88974949	19.11753415	17.04506316	4.026865213	4.916060685	4.349230074	4.249321649	3.69641516	26.75001607	25.21793656	23.13867873	23.63442316	23.05061511	2.480786937	2.526803879	3.92498362	2.092327059	2.346713541	-7.850609557	-3.517394712	6.614467332	9.45518441	7.766334197	5.784935896	-5.921709401	-7.384494519	13.93009063	10.57191687	4.039643746	-5.180485842	-6.623716083	19.25902599	12.15874112
Axiata Group	Telecommunications	4.6	4.597834	Hold	10070.16944	22.10870881	96.34442871	49.6600428	nm	31.93136146	2.402355133	1.795754942	2.008530952	1.992986421	1.974500612	11.53933355	2.140936805	3.765043844	-12.37911205	6.212377941	3.120124805	1.694915254	1.548269581	2.460956522	2.661956522	6.261740935	8.458950303	13.15537877	-1.006712712	4.400915315	-6.828927529	-22.36647798	34.10734818	-5.642580282	9.971491797	-7.50334971	-31.53066152	-15.02115656	0.001635187	8.167238484
Tingyi	Consumer Staples	14	12.37	Sell	10027.27354	43.03015452	34.25699002	28.03265798	30.71240406	27.23219371	2.140337078	1.965053631	3.18361865	2.9086516	2.736287917	6.464451358	4.80419835	7.841757869	9.742701142	10.35480326	1.53936364	1.226483878	1.281475392	1.628010795	1.836062145	-9.784576579	-1.995498496	6.072344175	6.280473309	6.020612611	-34.26859643	-11.8749243	33.23632698	9.933659403	12.09522513	-35.05390337	-27.25733817	56.58763587	22.93547838	12.77982376
Petronas Gas	Utilities	19	19.501633	Hold	9074.552257	22.13966626	24.85012718	20.75612103	20.19459083	19.84441975	3.926742553	3.521999517	2.763737737	2.875728278	2.75591739	18.09021268	14.86014937	14.64501733	14.55089639	14.18307132	2.643171806	2.910798122	3.546910755	3.466273684	3.527442105	1.462731197	2.363690836	5.444590115	9.330391135	0.972299711	-0.496378351	-4.536394423	4.180049085	11.41245224	-0.697042895	-1.97801853	-0.132433146	1.736963048	4.73040745	1.764611244
DiGi.com	Telecommunications	4.81	4.799083	Hold	9026.731837	25.74929405	23.25253365	25.97353523	25.01169986	24.04110479	80.83953353	72.31946337	76.44343186	72.09664848	72.09664848	285.7820703	314.3862311	284.5308424	288.2508785	299.8889142	4.074074074	4.327122153	3.68627451	3.998128898	4.15954262	-1.489248354	-4.583204127	-3.890026257	3.155979609	2.966236006	-11.85108865	-2.155136532	-9.100778478	0.874818643	3.859034571	-15.1907746	-5.218542277	-9.552521104	1.253552995	4.037467555
Shimao Property	Real Estate	20.45	22.5	Hold	8830.828713	6.841689714	6.011354862	5.195410601	6.980277138	5.741680147	0.815637968	0.61399158	0.870697531	0.97449735	0.848385023	12.60630671	10.07984869	14.24369466	14.80798942	15.79814393	6.062802173	8.361809408	5.649154502	5.274403451	6.223796072	2.946526234	2.690294458	18.78973577	21.97301636	19.78541841	-16.68195296	8.687606221	32.56268042	21.1274851	13.62565906	-15.49517888	0.707191496	12.10008964	29.67193106	21.57205016
Sime Darby Plantation	Plantations	5.23	5.35	Hold	8585.17818	na	na	21.55016981	65.22498254	29.32765098	na	na	2.650711341	2.550133529	2.443881838	10.45791866	31.8103159	13.21696284	3.948350075	8.51029727	na	na	3.283302064	0.766577438	1.704875717	15.94041149	23.71322145	-2.776838031	-45.66361602	91.0991833	-17.15193874	115.7643153	-9.445594258	-56.81219325	119.5574621	14.37172632	63.24324884	-1.665673118	-56.03891661	122.399893
IOI Corporation	Plantations	4.54	4.76	Hold	6886.620034	44.43856515	37.95240705	9.447180896	26.70981027	24.82773707	3.928928045	3.752073126	3.115818544	2.976908631	2.840667344	8.864581794	10.18396081	36.84308733	11.39950261	11.70946757	1.843317972	2.134831461	4.515418502	2.246365639	2.416651982	1.017984683	20.34192839	-14.27590552	-18.29366746	4.834865598	18.701822	2.302413106	5.453365073	-9.232362542	3.918113392	27.85541521	5.959012086	7.191033525	-1.163612381	7.580421959
Kuala Lumpur Kepong	Plantations	24.92	23.7	Hold	6420.975139	26.97644366	15.61201195	25.86827792	27.2826801	24.47357747	2.39642899	2.450916763	2.259522748	2.218085909	2.14048744	9.988590039	15.83405002	9.130796459	8.264390447	8.901824794	2.073732719	2.085070892	2.035830619	2.199197432	2.451621188	22.64172609	20.92176471	27.25237962	-5.495213829	7.948668562	-14.50907639	13.99908425	24.04544429	-8.089048533	5.152586552	-16.86435386	0.704388781	29.02869771	-8.559583486	11.47810521
MGM China Holdings 	Macau Gaming	12.92	16	Hold	6259.516389	17.76428917	17.29674122	14.62416119	22.21396935	16.65920956	11.81671862	7.499416283	8.467115157	6.676757597	6.217169783	88.85872233	55.30128439	50.05887446	30.33831682	38.6499122	6.80020284	2.567010309	1.735074627	4.223900929	4.895936533	-1.061964287	-32.54398786	-13.17952998	4.021251537	53.88714811	6.64866826	-40.3220957	-2.905560308	-14.35930202	25.92635607	7.340930855	-44.09267235	0.582354373	-19.86525572	15.91027022
Cathay Pacific	Airlines	11.16	12.3	Hold	5597.202065	11.09323288	nm	nm	35.59626941	15.01424739	1.101512593	0.72473973	0.780317759	0.705806638	0.681062555	12.04226836	-1.113348565	-2.162004362	2.000498477	4.617042372	3.949448584	0.490215686	0	1.233826165	2.535349462	-3.442745139	-9.371519024	4.887278843	8.620285145	-0.788024849	50.25930101	nm	nm	nm	237.2453081	89.51091972	nm	nm	nm	94.5024957
Semiconductor Manufacturing Int'l Corp.	Technology	8.47	6.9	Sell	5455.237216	16.29140917	11.27072006	32.93789336	nm	nm	1.146919592	1.604405373	1.562917013	0.978627258	0.985559927	7.589119998	9.558494162	3.829595276	0.186229097	-0.70598579	0	0	0	0	0	13.52556339	30.30586899	6.416727862	12.20556457	10.31491396	70.45107298	52.79274247	-63.17989658	nm	nm	65.66167001	48.6241718	-52.29296657	-94.58385565	nm
Hong Leong Financial Group	Financials	19.16	21.2	Buy	5306.899155	11.65257068	11.95202003	10.65830096	11.33304666	10.75049811	1.098064079	1.160717586	1.160120696	1.23287948	1.140348987	na	na	na	na	na	2.588555858	2.261904762	2.111111111	2.557411274	2.713987474	na	na	na	na	na	na	na	na	na	na	-3.502367261	8.007411908	14.33876296	5.103839045	5.418810783
RHB Bank	Banks	5.31	5.9	Hold	5139.600652	10.70754604	12.16593054	10.03513697	9.31786556	8.882911186	1.110576389	0.868590709	0.866111166	0.907868605	0.848062768	na	na	na	na	na	2.116402116	2.547770701	3	3.389830509	3.578154426	na	na	na	na	na	na	na	na	na	na	-6.604694641	-6.494367278	15.96801663	17.18172732	4.89653067
Hualan Biological Engin.	Health Care	33.95	38	Hold	4599.900505	27.06591865	38.39576737	36.73337133	32.71828735	28.12029689	4.370177211	7.883178136	5.357253897	6.019413895	5.334300368	16.68813884	19.81526841	18.28302972	19.47244781	20.11424369	2.181818182	1.118881119	1.588091518	1.222556701	1.422459499	18.35766442	31.45250004	22.40728297	12.99349377	16.84431522	12.9885342	35.60484377	6.530912975	19.45972343	17.21714268	9.416770387	32.45415895	4.085238694	18.82704896	16.35113622
Sime Darby Bhd	Consumer Discretionary	2.58	2.45	Hold	4235.135699	14.325031	21.54049901	26.23700409	19.90955813	19.35454832	0.338267719	0.394792149	1.159503146	1.19896833	1.177092681	2.51575923	1.7637443	2.390114671	6.076953481	6.137711841	15.58936459	10.60993274	3.265306122	3.515891473	3.616705426	-32.64835223	5.551405677	8.817190466	4.129759811	1.423582763	-74.39082926	-18.63285557	49.32249322	15.63264973	1.778697135	-66.76131687	15.51318559	-7.18113612	1.765769861	2.867529765
Uni-President China	Consumer Staples	7.61	10.2	Buy	4190.744094	28.26261554	36.00740331	25.98738103	23.86978084	20.67736634	1.862166566	1.758932079	1.836188977	2.183177598	2.116148752	7.437940695	5.137600849	7.066547772	9.273428297	10.39367542	0.772480209	0.573545744	2.612437031	2.932581248	3.385342592	-1.715606743	-5.050880082	1.48198292	9.374942514	7.907476975	177.3962619	-32.46685888	70.34250498	36.48303336	16.64559275	429.7200023	-39.92498547	75.177578	37.23258902	15.43898749
ASM Pacific Technology	Technology	77.6	130	Buy	4001.245362	29.78189138	17.73948413	15.64278453	10.42845916	8.85523696	3.076969715	3.717443521	4.133521944	2.498004011	2.123940989	11.75663205	16.8932459	27.40906886	24.42979551	24.46443178	2.165563218	1.125197809	1.559695133	2.374078608	2.795856959	-8.796058266	9.799591662	22.9860288	12.14023278	5.141034743	-29.36781371	36.88508478	55.3570314	15.34721622	19.08808336	-40.43097147	50.93273032	94.36837851	8.163008647	17.76600565
Vipshop Holdings 	Internet	6.1	15.2	Buy	3844.932834	49.82044999	24.60929106	22.82737643	12.33170998	6.043213373	13.90002668	6.677547915	2.697444038	1.243907538	0.969190058	52.17736373	43.93780204	19.47055778	12.76514158	20.98476127	0	0	0	0	0	73.81930886	40.76313604	28.84014049	25.39727742	18.66344556	148.3604758	30.77251492	-0.637550047	0.253504698	103.1332305	78.12424055	30.37000351	3.800242305	7.730146137	67.49603317
Hutchison China MediTech	Health Care	28.23	45	Buy	3753.250853	na	53.15149171	nm	nm	nm	na	4.397541654	5.269042637	4.828105423	7.817532208	na	na	na	na	na	na	0	0	0	0	104.0593617	21.25497326	11.62671233	-26.34470259	14.78052532	nm	nm	nm	nm	nm	nm	nm	nm	nm	nm
CIFI Holdings	Real Estate	3.77	7	Buy	3706.994353	4.347505287	4.083812735	4.455457669	4.375817614	3.440591085	0.754414575	0.843510521	1.420520337	1.003379481	0.832628182	na	20.19292157	26.90969397	24.92481671	26.45079624	8.113080661	7.281028169	5.275842541	7.667854014	9.584817517	na	21.90612386	43.19496004	26.54214571	29.75659078	na	18.805623	71.20559459	20.98630346	28.93505369	na	27.79437053	44.56090652	39.78549074	27.182058
Health &#38; Happiness Int'l	Consumer Staples	44.1	69.4	Buy	3598	41.59727108	12.96553085	17.38306584	16.56164189	12.24214223	2.496066456	4.290319421	6.48909839	4.291795711	3.177752897	7.690575565	28.07729585	25.18076185	29.77158339	29.82891322	0	0	0	0	0	1.838673605	35.01159371	24.43625631	27.916624	26.9548235	-45.90144676	197.5447228	-3.895060602	34.70396396	28.87377969	-68.92769582	180.9862498	71.55122971	21.95232804	35.28387742
KWG Property	Real Estate	7.53	9.5	Hold	3029.045396	4.105917952	3.592991233	4.669051458	4.623636318	3.264437108	0.63533107	0.485156488	0.869211373	0.676433808	0.58735203	15.97973724	14.96900081	14.04278687	15.13579115	18.91150286	8.302649833	12.9312982	5.390827886	7.797623273	11.04427974	-20.31411299	6.302018908	30.20466584	52.20957154	38.31208822	-13.94076759	11.69298336	10.62698869	54.72277434	60.31079605	0.737291424	12.5577812	20.56810404	25.33686988	41.63653463
AMMB Holdings	Banks	4.07	4.65	Buy	2961.069901	11.8876862	9.997284119	12.33621148	9.232940045	8.516443851	0.91408314	0.874518122	0.709945478	0.70860506	0.674911644	na	na	na	na	na	3.369565217	3.784946237	3.856041131	4.324324324	4.692874693	na	na	na	na	na	na	na	na	na	na	-17.22185592	-11.72834695	0.438169006	10.5285007	8.413265083
Telekom Malaysia	Telecommunications	3.15	3.695102	Hold	2857.224113	36.75756195	32.0078386	25.47508393	19.3224269	20.77973481	3.274626714	2.906738161	3.018393515	1.526198284	1.515070624	9.123419556	10.03044032	11.96848569	7.854345558	7.31779884	3.156342183	3.613445378	3.412698413	5.913460318	4.331142857	4.330179527	2.89465602	0.200648376	-0.969649188	0.96887098	-10.61359867	-4.380091958	0.16871942	-21.16603175	-5.676671652	-4.919252019	-5.251983462	1.816251917	-29.03692865	-7.012829945
Universal Scientific Industrial	Technology	8.84	10.6	Hold	2802.080886	43.24263032	52.58624813	28.67401185	18.53719707	15.14728334	5.164567934	4.499315768	3.092833521	2.319758199	2.086432102	13.85179996	10.36880533	11.09006631	13.11262048	14.50371034	0.598288378	0.778381743	1.001914099	1.454004525	1.781074661	11.18228972	34.51988755	12.45378628	18.42215318	3.2927338	21.63589007	-7.530365148	41.9754608	28.23835356	21.98987554	24.31367276	-1.550837789	25.43455181	19.80100966	22.37975689
China Biologic Products	Health Care	82.02	83	Hold	2723.309978	28.89178221	30.00482504	40.04226686	32.95549562	30.42052425	9.876938313	6.325784243	3.635068475	1.92763908	2.141752078	29.95901296	24.81323474	12.81469409	9.135414288	7.16248686	0	0	0	0	0	21.87292142	15.08191338	8.56976381	15.59580676	3.582003868	19.27603052	8.544407564	-5.597844672	-11.16457155	8.333858299	34.02229273	28.48553006	-20.76412596	13.9233438	4.022952263
China Longyuan Power	Energy	6.31	7.799531	Buy	2687.013361	18.74537535	11.28974407	10.847406	8.600370179	7.447944376	1.120807832	1.15181778	0.904864225	0.96291918	0.856986618	8.440443039	9.716331656	9.732540685	11.83229658	12.17611538	1.462809812	1.564843566	1.98168479	2.254310463	2.614130239	8.105888613	13.31597052	10.25625609	11.03340783	7.376427978	8.731900465	5.832294761	10.45917208	21.48095785	12.15034078	12.52016216	18.66050418	7.983742942	35.63820496	15.96156618
